ExampleOrder-Daily4Sim,1983-05-11 00:00:00.000,2700,0,2700
ExampleReversal-Daily4Sim,1983-05-11 00:00:00.000,16200,8300,24500
Portfolio-Daily4Sim,1983-05-11 00:00:00.000,2800,8300,11100
ExampleOrder-FullTick,1983-05-11 00:00:00.000,2700,0,2700
Portfolio,1983-05-11 00:00:00.000,-9600,8300,-1300
ExampleOrder-Daily4Sim,1983-05-12 00:00:00.000,2700,300,3000
ExampleReversal-Daily4Sim,1983-05-12 00:00:00.000,16200,10800,27000
Portfolio-Daily4Sim,1983-05-12 00:00:00.000,2800,11100,13900
ExampleOrder-FullTick,1983-05-12 00:00:00.000,2700,300,3000
Portfolio,1983-05-12 00:00:00.000,-4500,11400,6900
ExampleOrder-Daily4Sim,1983-05-13 00:00:00.000,2700,-500,2200
ExampleReversal-Daily4Sim,1983-05-13 00:00:00.000,16200,10000,26200
Portfolio-Daily4Sim,1983-05-13 00:00:00.000,2800,9500,12300
ExampleOrder-FullTick,1983-05-13 00:00:00.000,2700,-500,2200
Portfolio,1983-05-13 00:00:00.000,-4500,9000,4500
Portfolio,1983-05-14 00:00:00.000,-4500,9000,4500
ExampleOrder-Daily4Sim,1983-05-16 00:00:00.000,4200,0,4200
ExampleReversal-Daily4Sim,1983-05-16 00:00:00.000,16200,8100,24300
Portfolio-Daily4Sim,1983-05-16 00:00:00.000,2800,8100,10900
ExampleOrder-FullTick,1983-05-16 00:00:00.000,4200,0,4200
Portfolio,1983-05-16 00:00:00.000,-4500,8100,3600
ExampleOrder-Daily4Sim,1983-05-17 00:00:00.000,2700,0,2700
ExampleReversal-Daily4Sim,1983-05-17 00:00:00.000,25100,600,25700
Portfolio-Daily4Sim,1983-05-17 00:00:00.000,19300,600,19900
ExampleOrder-FullTick,1983-05-17 00:00:00.000,2700,0,2700
Portfolio,1983-05-17 00:00:00.000,-3000,600,-2400
ExampleOrder-Daily4Sim,1983-05-18 00:00:00.000,2700,0,2700
ExampleReversal-Daily4Sim,1983-05-18 00:00:00.000,25100,-100,25000
Portfolio-Daily4Sim,1983-05-18 00:00:00.000,19300,-100,19200
ExampleOrder-FullTick,1983-05-18 00:00:00.000,2700,0,2700
Portfolio,1983-05-18 00:00:00.000,12000,-100,11900
ExampleOrder-Daily4Sim,1983-05-19 00:00:00.000,2700,-500,2200
ExampleReversal-Daily4Sim,1983-05-19 00:00:00.000,25100,400,25500
Portfolio-Daily4Sim,1983-05-19 00:00:00.000,19300,-100,19200
ExampleOrder-FullTick,1983-05-19 00:00:00.000,2700,-500,2200
Portfolio,1983-05-19 00:00:00.000,12000,-600,11400
ExampleOrder-Daily4Sim,1983-05-20 00:00:00.000,2700,3000,5700
ExampleReversal-Daily4Sim,1983-05-20 00:00:00.000,25100,3900,29000
Portfolio-Daily4Sim,1983-05-20 00:00:00.000,19300,6900,26200
ExampleOrder-FullTick,1983-05-20 00:00:00.000,2700,3000,5700
Portfolio,1983-05-20 00:00:00.000,12000,9900,21900
Portfolio,1983-05-21 00:00:00.000,12000,9900,21900
ExampleOrder-Daily4Sim,1983-05-23 00:00:00.000,2700,2700,5400
ExampleReversal-Daily4Sim,1983-05-23 00:00:00.000,25100,3600,28700
Portfolio-Daily4Sim,1983-05-23 00:00:00.000,19300,6300,25600
ExampleOrder-FullTick,1983-05-23 00:00:00.000,2700,2700,5400
Portfolio,1983-05-23 00:00:00.000,12000,9000,21000
ExampleOrder-Daily4Sim,1983-05-24 00:00:00.000,3200,0,3200
ExampleReversal-Daily4Sim,1983-05-24 00:00:00.000,25100,1400,26500
Portfolio-Daily4Sim,1983-05-24 00:00:00.000,19300,1400,20700
ExampleOrder-FullTick,1983-05-24 00:00:00.000,3200,0,3200
Portfolio,1983-05-24 00:00:00.000,12000,1400,13400
ExampleOrder-Daily4Sim,1983-05-25 00:00:00.000,3200,0,3200
ExampleReversal-Daily4Sim,1983-05-25 00:00:00.000,25500,-3000,22500
Portfolio-Daily4Sim,1983-05-25 00:00:00.000,18700,-3000,15700
ExampleOrder-FullTick,1983-05-25 00:00:00.000,3200,0,3200
Portfolio,1983-05-25 00:00:00.000,12500,-3000,9500
ExampleOrder-Daily4Sim,1983-05-26 00:00:00.000,3200,-400,2800
ExampleReversal-Daily4Sim,1983-05-26 00:00:00.000,22000,100,22100
Portfolio-Daily4Sim,1983-05-26 00:00:00.000,15200,-300,14900
ExampleOrder-FullTick,1983-05-26 00:00:00.000,3200,-400,2800
Portfolio,1983-05-26 00:00:00.000,11900,-700,11200
ExampleOrder-Daily4Sim,1983-05-27 00:00:00.000,1800,0,1800
ExampleReversal-Daily4Sim,1983-05-27 00:00:00.000,22000,-1100,20900
Portfolio-Daily4Sim,1983-05-27 00:00:00.000,15200,-1100,14100
ExampleOrder-FullTick,1983-05-27 00:00:00.000,1800,0,1800
Portfolio,1983-05-27 00:00:00.000,8400,-1100,7300
Portfolio,1983-05-28 00:00:00.000,7000,-1100,5900
ExampleOrder-Daily4Sim,1983-05-31 00:00:00.000,300,0,300
ExampleReversal-Daily4Sim,1983-05-31 00:00:00.000,19500,-2000,17500
Portfolio-Daily4Sim,1983-05-31 00:00:00.000,11300,-2000,9300
ExampleOrder-FullTick,1983-05-31 00:00:00.000,300,0,300
Portfolio,1983-05-31 00:00:00.000,7000,-2000,5000
ExampleOrder-Daily4Sim,1983-06-01 00:00:00.000,300,0,300
ExampleReversal-Daily4Sim,1983-06-01 00:00:00.000,19500,-2800,16700
Portfolio-Daily4Sim,1983-06-01 00:00:00.000,11300,-2800,8500
ExampleOrder-FullTick,1983-06-01 00:00:00.000,300,0,300
Portfolio,1983-06-01 00:00:00.000,1600,-2800,-1200
ExampleOrder-Daily4Sim,1983-06-02 00:00:00.000,300,0,300
ExampleReversal-Daily4Sim,1983-06-02 00:00:00.000,19500,-3500,16000
Portfolio-Daily4Sim,1983-06-02 00:00:00.000,11300,-3500,7800
ExampleOrder-FullTick,1983-06-02 00:00:00.000,300,0,300
Portfolio,1983-06-02 00:00:00.000,1600,-3500,-1900
ExampleOrder-Daily4Sim,1983-06-03 00:00:00.000,300,0,300
ExampleReversal-Daily4Sim,1983-06-03 00:00:00.000,16500,100,16600
Portfolio-Daily4Sim,1983-06-03 00:00:00.000,6800,100,6900
ExampleOrder-FullTick,1983-06-03 00:00:00.000,300,0,300
Portfolio,1983-06-03 00:00:00.000,1600,100,1700
Portfolio,1983-06-04 00:00:00.000,-2900,100,-2800
ExampleOrder-Daily4Sim,1983-06-06 00:00:00.000,300,0,300
ExampleReversal-Daily4Sim,1983-06-06 00:00:00.000,16000,-500,15500
Portfolio-Daily4Sim,1983-06-06 00:00:00.000,6300,-500,5800
ExampleOrder-FullTick,1983-06-06 00:00:00.000,300,0,300
Portfolio,1983-06-06 00:00:00.000,-2900,-500,-3400
ExampleOrder-Daily4Sim,1983-06-07 00:00:00.000,300,1300,1600
ExampleReversal-Daily4Sim,1983-06-07 00:00:00.000,16000,-2800,13200
Portfolio-Daily4Sim,1983-06-07 00:00:00.000,4800,-1500,3300
ExampleOrder-FullTick,1983-06-07 00:00:00.000,300,1300,1600
Portfolio,1983-06-07 00:00:00.000,-3400,-200,-3600
ExampleOrder-Daily4Sim,1983-06-08 00:00:00.000,300,1500,1800
ExampleReversal-Daily4Sim,1983-06-08 00:00:00.000,13100,100,13200
Portfolio-Daily4Sim,1983-06-08 00:00:00.000,4800,1600,6400
ExampleOrder-FullTick,1983-06-08 00:00:00.000,300,1500,1800
Portfolio,1983-06-08 00:00:00.000,-4900,3100,-1800
ExampleOrder-Daily4Sim,1983-06-09 00:00:00.000,800,0,800
ExampleReversal-Daily4Sim,1983-06-09 00:00:00.000,13100,-1000,12100
Portfolio-Daily4Sim,1983-06-09 00:00:00.000,4800,-1000,3800
ExampleOrder-FullTick,1983-06-09 00:00:00.000,800,0,800
Portfolio,1983-06-09 00:00:00.000,-4900,-1000,-5900
ExampleOrder-Daily4Sim,1983-06-10 00:00:00.000,800,200,1000
ExampleReversal-Daily4Sim,1983-06-10 00:00:00.000,12700,-2200,10500
Portfolio-Daily4Sim,1983-06-10 00:00:00.000,3500,-2000,1500
ExampleOrder-FullTick,1983-06-10 00:00:00.000,800,200,1000
Portfolio,1983-06-10 00:00:00.000,-4400,-1800,-6200
Portfolio,1983-06-11 00:00:00.000,-5700,-1800,-7500
ExampleOrder-Daily4Sim,1983-06-13 00:00:00.000,800,-2100,-1300
ExampleReversal-Daily4Sim,1983-06-13 00:00:00.000,9600,1400,11000
Portfolio-Daily4Sim,1983-06-13 00:00:00.000,-300,-700,-1000
ExampleOrder-FullTick,1983-06-13 00:00:00.000,800,-2100,-1300
Portfolio,1983-06-13 00:00:00.000,-5700,-2800,-8500
ExampleOrder-Daily4Sim,1983-06-14 00:00:00.000,-3700,0,-3700
ExampleReversal-Daily4Sim,1983-06-14 00:00:00.000,9600,1400,11000
Portfolio-Daily4Sim,1983-06-14 00:00:00.000,-300,1400,1100
ExampleOrder-FullTick,1983-06-14 00:00:00.000,-3700,0,-3700
Portfolio,1983-06-14 00:00:00.000,-9500,1400,-8100
ExampleOrder-Daily4Sim,1983-06-15 00:00:00.000,-3700,0,-3700
ExampleReversal-Daily4Sim,1983-06-15 00:00:00.000,9600,4400,14000
Portfolio-Daily4Sim,1983-06-15 00:00:00.000,-300,4400,4100
ExampleOrder-FullTick,1983-06-15 00:00:00.000,-3700,0,-3700
Portfolio,1983-06-15 00:00:00.000,-14000,4400,-9600
ExampleOrder-Daily4Sim,1983-06-16 00:00:00.000,-3700,0,-3700
ExampleReversal-Daily4Sim,1983-06-16 00:00:00.000,9600,4300,13900
Portfolio-Daily4Sim,1983-06-16 00:00:00.000,-300,4300,4000
ExampleOrder-FullTick,1983-06-16 00:00:00.000,-3700,0,-3700
Portfolio,1983-06-16 00:00:00.000,-14000,4300,-9700
ExampleOrder-Daily4Sim,1983-06-17 00:00:00.000,-3700,0,-3700
ExampleReversal-Daily4Sim,1983-06-17 00:00:00.000,9600,4300,13900
Portfolio-Daily4Sim,1983-06-17 00:00:00.000,-300,4300,4000
ExampleOrder-FullTick,1983-06-17 00:00:00.000,-3700,0,-3700
Portfolio,1983-06-17 00:00:00.000,-14000,4300,-9700
Portfolio,1983-06-18 00:00:00.000,-14000,4300,-9700
ExampleOrder-Daily4Sim,1983-06-20 00:00:00.000,-3700,300,-3400
ExampleReversal-Daily4Sim,1983-06-20 00:00:00.000,9600,5600,15200
Portfolio-Daily4Sim,1983-06-20 00:00:00.000,-300,5900,5600
ExampleOrder-FullTick,1983-06-20 00:00:00.000,-3700,300,-3400
Portfolio,1983-06-20 00:00:00.000,-14000,6200,-7800
ExampleOrder-Daily4Sim,1983-06-21 00:00:00.000,-4400,0,-4400
ExampleReversal-Daily4Sim,1983-06-21 00:00:00.000,9600,3200,12800
Portfolio-Daily4Sim,1983-06-21 00:00:00.000,-300,3200,2900
ExampleOrder-FullTick,1983-06-21 00:00:00.000,-4400,0,-4400
Portfolio,1983-06-21 00:00:00.000,-14000,3200,-10800
ExampleOrder-Daily4Sim,1983-06-22 00:00:00.000,-4400,2500,-1900
ExampleReversal-Daily4Sim,1983-06-22 00:00:00.000,13000,2500,15500
Portfolio-Daily4Sim,1983-06-22 00:00:00.000,-1400,5000,3600
ExampleOrder-FullTick,1983-06-22 00:00:00.000,-4400,2500,-1900
Portfolio,1983-06-22 00:00:00.000,-14700,7500,-7200
ExampleOrder-FullTick,1983-06-23 00:00:00.000,-4400,0,-4400
ExampleOrder-Daily4Sim,1983-06-23 00:00:00.000,-4400,0,-4400
